"long","lat","name","class","has_nature","has_garden","has_biking","sqft","bgroup_id2","nbhd_id","nbhd_name"
-104.93549784,39.7193483,"Cranmer Park","Community",FALSE,FALSE,FALSE,1051751.37559506,"80310043032",37,"Hilltop"
-104.93615046,39.65955259,"Eisenhower (Mamie Doud) Park","Community",FALSE,FALSE,TRUE,879587.941904152,"80310040034",65,"University Hills"
-104.9393433,39.7126777,"Burns (DC) Park","Neighborhood",FALSE,FALSE,FALSE,538079.439520068,"80310043034",37,"Hilltop"
-104.93994799,39.65407127,"Magna Carta Park","Neighborhood",FALSE,FALSE,TRUE,156272.343336936,"80310040034",65,"University Hills"
-104.94082063,39.77053412,"Colorado Blvd Park","Linear",FALSE,FALSE,TRUE,66231.0280923036,"80310036021",17,"Clayton"
-104.9412165,39.76034146,"Boyd (J. Langston) Park","Neighborhood",FALSE,FALSE,TRUE,212720.729442815,"80310036031",55,"Skyland"
-104.94374618,39.70854473,"City of Takayama Park","Linear",FALSE,FALSE,TRUE,263728.747732419,"80310039011",7,"Belcaro"
-104.94408199,39.70698227,"City of Brest Park","Community",FALSE,FALSE,TRUE,711709.595411715,"80310039011",7,"Belcaro"
-104.94608151,39.65572229,"Wellshire Municipal Golf Course","Golf",FALSE,FALSE,FALSE,5827670.33063062,"80310040021",73,"Wellshire"
-104.94685422,39.76634461,"City of Nairobi Park","Neighborhood",FALSE,FALSE,FALSE,98766.8571383874,"80310036023",17,"Clayton"
-104.94748978,39.71306146,"Pulaski Park","Neighborhood",FALSE,FALSE,FALSE,383253.70495166,"80310038004",13,"Cherry Creek"
-104.94833828,39.71230976,"City of Karmiel Park","Linear",FALSE,FALSE,TRUE,145578.787008306,"80310038004",13,"Cherry Creek"
-104.94844496,39.7138264,"Gates Tennis Center","Special Use",FALSE,FALSE,FALSE,199626.57894405,"80310038004",13,"Cherry Creek"
-104.94931974,39.79023681,"Swansea Neighborhood Park","Neighborhood",FALSE,FALSE,TRUE,145184.670443014,"80310035002",25,"Elyria Swansea"
-104.9500095,39.70605012,"Steele St Bikeway","Linear",FALSE,FALSE,FALSE,26186.2834589395,"80310039011",7,"Belcaro"
-104.95018342,39.74745776,"City Park","Regional",FALSE,FALSE,FALSE,13683046.6209668,"80310037011",14,"City Park"
-104.95036585,39.75279644,"City Park Municipal Golf Course","Golf",FALSE,FALSE,FALSE,6041236.06845847,"80310036031",55,"Skyland"
-104.95148584,39.7147795,"Cherry Creek Park","Linear",TRUE,FALSE,TRUE,102647.016066259,"80310038004",13,"Cherry Creek"
-104.9516049,39.6816885,"Prairie Park","Linear",TRUE,FALSE,TRUE,323454.505837984,"80310040052",66,"University Park"
-104.9523391,39.668035,"McWilliams (Robert H) Park","Neighborhood",FALSE,FALSE,TRUE,341943.285175463,"80310040063",66,"University Park"
-104.95296167,39.6764225,"Observatory Park","Neighborhood",FALSE,FALSE,FALSE,454600.224717199,"80310040062",66,"University Park"
-104.95398895,39.66970745,"Harvard Gulch East","Linear",TRUE,FALSE,TRUE,465870.684377415,"80310040063",66,"University Park"
-104.95467283,39.7002049,"Bonnie Brae Park","Neighborhood",FALSE,FALSE,TRUE,64188.8950237713,"80310039013",7,"Belcaro"
-104.95469686,39.77830207,"Dunham (Lee) Park","Neighborhood",FALSE,FALSE,FALSE,106983.46929873,"80310035005",25,"Elyria Swansea"
-104.95557186,39.78554954,"Swansea Park","Neighborhood",FALSE,FALSE,TRUE,466902.089136909,"80310035002",25,"Elyria Swansea"
-104.95612086,39.76873503,"Schafer (Martin J) Park","Neighborhood",FALSE,FALSE,TRUE,387363.102163641,"80310036021",17,"Clayton"
-104.95708382,39.73009892,"Congress Park","Community",FALSE,FALSE,FALSE,835390.090260937,"80310033004",20,"Congress Park"
