GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD95,"Estimate; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - 15 to 19 minutes"
HD02_VD95,"Margin of Error; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - 15 to 19 minutes"
HD01_VD96,"Estimate; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - 20 to 24 minutes"
HD02_VD96,"Margin of Error; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - 20 to 24 minutes"
HD01_VD97,"Estimate; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - 25 to 29 minutes"
HD02_VD97,"Margin of Error; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - 25 to 29 minutes"
HD01_VD98,"Estimate; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - 30 to 34 minutes"
HD02_VD98,"Margin of Error; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - 30 to 34 minutes"
HD01_VD99,"Estimate; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - 35 to 44 minutes"
HD02_VD99,"Margin of Error; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - 35 to 44 minutes"
HD01_VD100,"Estimate; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - 45 to 59 minutes"
HD02_VD100,"Margin of Error; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - 45 to 59 minutes"
HD01_VD101,"Estimate; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - 60 or more minutes"
HD02_VD101,"Margin of Error; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated: - 60 or more minutes"
HD01_VD102,Estimate; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat:
HD02_VD102,Margin of Error; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat:
HD01_VD104,Estimate; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - Less than 10 minutes
HD02_VD104,Margin of Error; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - Less than 10 minutes
HD01_VD105,Estimate; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - 10 to 14 minutes
HD02_VD105,Margin of Error; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - 10 to 14 minutes
HD01_VD106,Estimate; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - 15 to 19 minutes
HD02_VD106,Margin of Error; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - 15 to 19 minutes
HD01_VD107,Estimate; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - 20 to 24 minutes
HD02_VD107,Margin of Error; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - 20 to 24 minutes
HD01_VD108,Estimate; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - 25 to 29 minutes
HD02_VD108,Margin of Error; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - 25 to 29 minutes
HD01_VD109,Estimate; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - 30 to 34 minutes
HD02_VD109,Margin of Error; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - 30 to 34 minutes
HD01_VD110,Estimate; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - 35 to 44 minutes
HD02_VD110,Margin of Error; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - 35 to 44 minutes
HD01_VD111,Estimate; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - 45 to 59 minutes
HD02_VD111,Margin of Error; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - 45 to 59 minutes
HD01_VD112,Estimate; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - 60 or more minutes
HD02_VD112,Margin of Error; Total: - Public transportation (excluding taxicab): - Railroad or ferryboat: - 60 or more minutes
HD01_VD113,Estimate; Total: - Walked:
HD02_VD113,Margin of Error; Total: - Walked:
HD01_VD116,Estimate; Total: - Walked: - Less than 10 minutes
HD02_VD116,Margin of Error; Total: - Walked: - Less than 10 minutes
HD01_VD117,Estimate; Total: - Walked: - 10 to 14 minutes
HD02_VD117,Margin of Error; Total: - Walked: - 10 to 14 minutes
HD01_VD118,Estimate; Total: - Walked: - 15 to 19 minutes
HD02_VD118,Margin of Error; Total: - Walked: - 15 to 19 minutes
HD01_VD119,Estimate; Total: - Walked: - 20 to 24 minutes
HD02_VD119,Margin of Error; Total: - Walked: - 20 to 24 minutes
HD01_VD120,Estimate; Total: - Walked: - 25 to 29 minutes
HD02_VD120,Margin of Error; Total: - Walked: - 25 to 29 minutes
HD01_VD121,Estimate; Total: - Walked: - 30 to 34 minutes
HD02_VD121,Margin of Error; Total: - Walked: - 30 to 34 minutes
HD01_VD122,Estimate; Total: - Walked: - 35 to 44 minutes
HD02_VD122,Margin of Error; Total: - Walked: - 35 to 44 minutes
HD01_VD123,Estimate; Total: - Walked: - 45 to 59 minutes
HD02_VD123,Margin of Error; Total: - Walked: - 45 to 59 minutes
HD01_VD124,Estimate; Total: - Walked: - 60 or more minutes
HD02_VD124,Margin of Error; Total: - Walked: - 60 or more minutes
HD01_VD125,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means:"
HD02_VD125,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means:"
HD01_VD128,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Less than 10 minutes"
HD02_VD128,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Less than 10 minutes"
HD01_VD129,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 10 to 14 minutes"
HD02_VD129,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 10 to 14 minutes"
HD01_VD130,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 15 to 19 minutes"
HD02_VD130,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 15 to 19 minutes"
HD01_VD131,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 20 to 24 minutes"
HD02_VD131,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 20 to 24 minutes"
HD01_VD132,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 25 to 29 minutes"
HD02_VD132,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 25 to 29 minutes"
HD01_VD133,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 30 to 34 minutes"
HD02_VD133,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 30 to 34 minutes"
HD01_VD134,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 35 to 44 minutes"
HD02_VD134,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 35 to 44 minutes"
HD01_VD135,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 45 to 59 minutes"
HD02_VD135,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 45 to 59 minutes"
HD01_VD136,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - 60 or more minutes"
HD02_VD136,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - 60 or more minutes"
