"","Id","Id2","Geography","Estimate..Total.","Margin.of.Error..Total.","Estimate..Male.","Margin.of.Error..Male.","Estimate..Male....Under.5.years","Margin.of.Error..Male....Under.5.years","Estimate..Male....5.to.9.years","Margin.of.Error..Male....5.to.9.years","Estimate..Male....10.to.14.years","Margin.of.Error..Male....10.to.14.years","Estimate..Male....15.to.17.years","Margin.of.Error..Male....15.to.17.years","Estimate..Male....18.and.19.years","Margin.of.Error..Male....18.and.19.years","Estimate..Male....20.years","Margin.of.Error..Male....20.years","Estimate..Male....21.years","Margin.of.Error..Male....21.years","Estimate..Male....22.to.24.years","Margin.of.Error..Male....22.to.24.years","Estimate..Male....25.to.29.years","Margin.of.Error..Male....25.to.29.years","Estimate..Male....30.to.34.years","Margin.of.Error..Male....30.to.34.years","Estimate..Male....35.to.39.years","Margin.of.Error..Male....35.to.39.years","Estimate..Male....40.to.44.years","Margin.of.Error..Male....40.to.44.years","Estimate..Male....45.to.49.years","Margin.of.Error..Male....45.to.49.years","Estimate..Male....50.to.54.years","Margin.of.Error..Male....50.to.54.years","Estimate..Male....55.to.59.years","Margin.of.Error..Male....55.to.59.years","Estimate..Male....60.and.61.years","Margin.of.Error..Male....60.and.61.years","Estimate..Male....62.to.64.years","Margin.of.Error..Male....62.to.64.years","Estimate..Male....65.and.66.years","Margin.of.Error..Male....65.and.66.years","Estimate..Male....67.to.69.years","Margin.of.Error..Male....67.to.69.years","Estimate..Male....70.to.74.years","Margin.of.Error..Male....70.to.74.years","Estimate..Male....75.to.79.years","Margin.of.Error..Male....75.to.79.years","Estimate..Male....80.to.84.years","Margin.of.Error..Male....80.to.84.years","Estimate..Male....85.years.and.over","Margin.of.Error..Male....85.years.and.over","Estimate..Female.","Margin.of.Error..Female.","Estimate..Female....Under.5.years","Margin.of.Error..Female....Under.5.years","Estimate..Female....5.to.9.years","Margin.of.Error..Female....5.to.9.years","Estimate..Female....10.to.14.years","Margin.of.Error..Female....10.to.14.years","Estimate..Female....15.to.17.years","Margin.of.Error..Female....15.to.17.years","Estimate..Female....18.and.19.years","Margin.of.Error..Female....18.and.19.years","Estimate..Female....20.years","Margin.of.Error..Female....20.years","Estimate..Female....21.years","Margin.of.Error..Female....21.years","Estimate..Female....22.to.24.years","Margin.of.Error..Female....22.to.24.years","Estimate..Female....25.to.29.years","Margin.of.Error..Female....25.to.29.years","Estimate..Female....30.to.34.years","Margin.of.Error..Female....30.to.34.years","Estimate..Female....35.to.39.years","Margin.of.Error..Female....35.to.39.years","Estimate..Female....40.to.44.years","Margin.of.Error..Female....40.to.44.years","Estimate..Female....45.to.49.years","Margin.of.Error..Female....45.to.49.years","Estimate..Female....50.to.54.years","Margin.of.Error..Female....50.to.54.years","Estimate..Female....55.to.59.years","Margin.of.Error..Female....55.to.59.years","Estimate..Female....60.and.61.years","Margin.of.Error..Female....60.and.61.years","Estimate..Female....62.to.64.years","Margin.of.Error..Female....62.to.64.years","Estimate..Female....65.and.66.years","Margin.of.Error..Female....65.and.66.years","Estimate..Female....67.to.69.years","Margin.of.Error..Female....67.to.69.years","Estimate..Female....70.to.74.years","Margin.of.Error..Female....70.to.74.years","Estimate..Female....75.to.79.years","Margin.of.Error..Female....75.to.79.years","Estimate..Female....80.to.84.years","Margin.of.Error..Female....80.to.84.years","Estimate..Female....85.years.and.over","Margin.of.Error..Female....85.years.and.over"
"421","1500000US080310083042",80310083042,"Block Group 2, Census Tract 83.04, Denver County, Colorado",1228,499,628,278,41,37,58,52,65,53,55,61,8,12,11,16,34,37,28,31,78,64,40,38,19,18,73,48,54,45,0,11,21,17,7,9,16,20,8,12,6,10,0,11,6,9,0,11,0,11,600,235,69,53,18,25,77,53,28,23,48,40,10,14,0,11,56,55,20,31,34,37,73,41,43,39,28,24,13,15,12,12,14,16,17,14,6,9,11,19,9,11,10,12,4,6,0,11
"422","1500000US080310083043",80310083043,"Block Group 3, Census Tract 83.04, Denver County, Colorado",794,237,308,100,5,10,22,25,25,31,0,11,10,16,4,6,0,11,29,29,43,40,0,11,0,11,0,11,39,24,11,11,55,45,16,24,0,11,0,11,15,11,0,11,24,24,7,11,3,5,486,172,29,33,52,35,67,59,34,28,19,27,0,11,5,7,0,11,10,14,53,40,5,8,17,17,29,27,68,43,38,36,0,11,0,11,4,6,5,8,29,22,19,22,0,11,3,6
"423","1500000US080310083051",80310083051,"Block Group 1, Census Tract 83.05, Denver County, Colorado",1486,306,679,158,98,64,94,66,38,33,34,30,15,25,0,11,0,11,48,41,83,53,42,29,84,51,31,29,52,51,10,11,12,13,14,12,9,10,4,6,6,9,0,11,0,11,5,8,0,11,807,186,120,76,90,45,132,58,25,33,0,11,21,27,26,34,27,35,33,25,104,59,42,32,20,25,57,40,22,18,33,25,19,15,4,6,5,7,0,11,0,11,22,23,5,9,0,11
"424","1500000US080310083052",80310083052,"Block Group 2, Census Tract 83.05, Denver County, Colorado",1420,306,781,213,0,11,162,71,95,59,20,25,18,18,41,36,12,13,40,37,12,19,52,34,49,39,58,46,58,38,32,21,38,30,5,8,10,11,28,39,18,18,22,30,4,8,7,10,0,11,639,131,50,36,42,36,63,35,21,22,28,30,20,18,0,11,53,49,31,23,56,35,19,18,104,49,5,7,30,21,33,23,14,21,0,11,13,13,39,36,9,10,9,11,0,11,0,11
"425","1500000US080310083053",80310083053,"Block Group 3, Census Tract 83.05, Denver County, Colorado",1613,334,746,181,60,43,45,37,68,37,32,29,30,39,17,26,21,26,48,28,30,37,57,39,114,70,47,38,25,28,53,37,12,14,0,11,5,7,8,9,29,23,29,24,6,10,10,12,0,11,867,226,53,34,91,76,141,81,73,42,58,38,16,26,17,28,17,18,29,35,47,41,80,46,36,33,66,39,28,23,33,19,6,9,13,20,12,11,29,26,12,14,10,11,0,11,0,11
"426","1500000US080310083061",80310083061,"Block Group 1, Census Tract 83.06, Denver County, Colorado",811,464,320,167,0,11,50,56,40,40,7,10,0,11,0,11,0,11,0,11,33,30,0,11,38,33,8,11,0,11,40,48,47,47,14,22,0,11,0,11,8,12,0,11,0,11,5,8,30,28,491,306,35,56,14,21,28,33,58,45,23,24,25,41,25,41,16,23,12,17,26,30,23,25,30,40,7,12,38,45,27,28,28,31,9,13,5,7,8,13,0,11,44,27,0,11,10,15
"427","1500000US080310083062",80310083062,"Block Group 2, Census Tract 83.06, Denver County, Colorado",1607,434,755,212,54,43,113,83,118,67,27,31,10,18,10,15,0,11,0,11,32,29,50,57,33,38,45,36,0,11,53,46,58,42,23,24,44,35,0,11,8,10,25,24,7,10,38,27,7,13,852,262,69,60,71,57,79,59,0,11,67,48,24,37,8,12,23,27,54,40,52,49,51,46,9,16,35,29,67,41,79,53,32,38,22,21,0,11,8,10,50,39,27,28,4,7,21,24
"428","1500000US080310083063",80310083063,"Block Group 3, Census Tract 83.06, Denver County, Colorado",868,298,474,183,30,37,8,13,21,23,68,52,34,36,0,11,7,12,38,40,9,14,49,38,38,37,20,26,21,25,18,29,23,24,9,14,9,15,0,11,22,22,30,21,0,11,15,20,5,8,394,127,9,15,36,35,36,27,7,12,8,12,11,18,0,11,19,24,32,36,0,11,51,39,0,11,18,29,35,37,19,22,0,11,10,14,19,21,33,23,21,18,10,12,5,9,15,17
"429","1500000US080310083064",80310083064,"Block Group 4, Census Tract 83.06, Denver County, Colorado",3079,462,1607,282,156,85,138,88,179,89,95,70,36,35,20,32,0,11,55,38,140,66,315,117,130,72,97,65,31,29,96,73,52,42,0,11,23,33,14,23,0,11,8,13,22,20,0,11,0,11,1472,292,311,108,208,103,153,84,11,18,0,11,54,35,0,11,50,39,217,91,121,61,80,54,98,57,32,35,19,21,33,38,15,24,38,42,13,16,10,11,0,11,0,11,0,11,9,13
"430","1500000US080310083121",80310083121,"Block Group 1, Census Tract 83.12, Denver County, Colorado",3281,696,1503,395,96,94,230,137,118,87,11,16,59,55,0,11,0,11,3,6,278,167,142,87,74,65,118,86,59,58,101,69,120,81,36,40,0,11,8,13,21,32,8,14,16,18,5,8,0,11,1778,374,192,117,137,76,255,146,123,88,88,67,0,11,24,36,39,51,138,75,203,120,68,39,147,75,29,25,90,52,99,72,30,33,33,39,45,50,0,11,3,6,18,20,15,16,2,4
