"","Id","Id2","Geography","Estimate..Total.","Margin.of.Error..Total.","Estimate..Total....No.schooling.completed","Margin.of.Error..Total....No.schooling.completed","Estimate..Total....Nursery.school","Margin.of.Error..Total....Nursery.school","Estimate..Total....Kindergarten","Margin.of.Error..Total....Kindergarten","Estimate..Total....1st.grade","Margin.of.Error..Total....1st.grade","Estimate..Total....2nd.grade","Margin.of.Error..Total....2nd.grade","Estimate..Total....3rd.grade","Margin.of.Error..Total....3rd.grade","Estimate..Total....4th.grade","Margin.of.Error..Total....4th.grade","Estimate..Total....5th.grade","Margin.of.Error..Total....5th.grade","Estimate..Total....6th.grade","Margin.of.Error..Total....6th.grade","Estimate..Total....7th.grade","Margin.of.Error..Total....7th.grade","Estimate..Total....8th.grade","Margin.of.Error..Total....8th.grade","Estimate..Total....9th.grade","Margin.of.Error..Total....9th.grade","Estimate..Total....10th.grade","Margin.of.Error..Total....10th.grade","Estimate..Total....11th.grade","Margin.of.Error..Total....11th.grade","Estimate..Total....12th.grade..no.diploma","Margin.of.Error..Total....12th.grade..no.diploma","Estimate..Total....Regular.high.school.diploma","Margin.of.Error..Total....Regular.high.school.diploma","Estimate..Total....GED.or.alternative.credential","Margin.of.Error..Total....GED.or.alternative.credential","Estimate..Total....Some.college..less.than.1.year","Margin.of.Error..Total....Some.college..less.than.1.year","Estimate..Total....Some.college..1.or.more.years..no.degree","Margin.of.Error..Total....Some.college..1.or.more.years..no.degree","Estimate..Total....Associate.s.degree","Margin.of.Error..Total....Associate.s.degree","Estimate..Total....Bachelor.s.degree","Margin.of.Error..Total....Bachelor.s.degree","Estimate..Total....Master.s.degree","Margin.of.Error..Total....Master.s.degree","Estimate..Total....Professional.school.degree","Margin.of.Error..Total....Professional.school.degree","Estimate..Total....Doctorate.degree","Margin.of.Error..Total....Doctorate.degree"
"84","1500000US080310013012",80310013012,"Block Group 2, Census Tract 13.01, Denver County, Colorado",642,248,24,26,0,11,0,11,0,11,0,11,45,74,0,11,11,17,66,77,0,11,10,16,89,74,0,11,12,19,25,41,126,88,50,50,16,27,71,53,38,40,53,39,6,11,0,11,0,11
"85","1500000US080310013013",80310013013,"Block Group 3, Census Tract 13.01, Denver County, Colorado",898,214,49,68,0,11,0,11,0,11,0,11,0,11,45,72,0,11,32,35,0,11,12,18,83,68,9,13,98,69,21,33,256,171,38,37,19,21,68,43,22,27,102,53,29,35,15,25,0,11
"86","1500000US080310013014",80310013014,"Block Group 4, Census Tract 13.01, Denver County, Colorado",579,223,0,11,0,11,0,11,0,11,0,11,30,50,0,11,22,34,53,63,33,51,8,13,0,11,0,11,70,78,0,11,96,59,40,35,39,32,53,40,20,21,93,52,22,24,0,11,0,11
"87","1500000US080310013015",80310013015,"Block Group 5, Census Tract 13.01, Denver County, Colorado",617,216,51,49,0,11,0,11,1,2,0,11,12,20,0,11,0,11,11,18,1,3,10,14,18,26,38,45,9,16,14,22,184,125,0,11,0,11,50,58,33,41,158,71,26,29,1,3,0,11
"88","1500000US080310013021",80310013021,"Block Group 1, Census Tract 13.02, Denver County, Colorado",1183,214,11,18,0,11,0,11,0,11,0,11,0,11,20,24,7,13,73,73,0,11,21,33,111,91,91,84,80,57,16,16,329,115,31,30,24,23,195,91,22,28,135,82,17,19,0,11,0,11
"89","1500000US080310013022",80310013022,"Block Group 2, Census Tract 13.02, Denver County, Colorado",576,201,4,9,0,11,0,11,0,11,0,11,0,11,0,11,0,11,63,68,0,11,0,11,0,11,52,45,18,25,0,11,251,143,29,26,18,20,125,104,8,14,8,13,0,11,0,11,0,11
"90","1500000US080310013023",80310013023,"Block Group 3, Census Tract 13.02, Denver County, Colorado",863,158,14,21,0,11,0,11,0,11,0,11,0,11,9,13,0,11,50,40,0,11,0,11,15,21,10,17,39,35,8,13,226,103,108,108,52,45,123,67,102,69,56,37,20,20,31,37,0,11
"91","1500000US080310014011",80310014011,"Block Group 1, Census Tract 14.01, Denver County, Colorado",582,144,0,11,0,11,0,11,0,11,0,11,0,11,33,53,0,11,30,36,0,11,0,11,30,43,58,53,14,17,0,11,163,80,68,65,21,17,93,81,9,12,30,26,11,16,11,16,11,15
"92","1500000US080310014012",80310014012,"Block Group 2, Census Tract 14.01, Denver County, Colorado",428,146,17,26,0,11,0,11,0,11,0,11,30,33,5,9,0,11,28,26,17,26,0,11,0,11,4,8,22,34,0,11,116,69,26,38,11,17,65,47,37,32,31,25,19,19,0,11,0,11
"93","1500000US080310014013",80310014013,"Block Group 3, Census Tract 14.01, Denver County, Colorado",1171,311,69,51,0,11,0,11,0,11,0,11,0,11,0,11,125,83,77,63,53,43,5,8,93,56,134,97,108,70,3,6,282,140,30,25,8,13,52,35,17,27,77,48,24,21,0,11,14,21
"94","1500000US080310014014",80310014014,"Block Group 4, Census Tract 14.01, Denver County, Colorado",1166,204,51,56,0,11,0,11,0,11,17,28,14,23,10,17,26,27,77,77,13,22,7,11,0,11,15,17,104,54,106,45,382,134,107,61,12,15,55,36,102,87,31,24,29,42,0,11,8,12
"95","1500000US080310014015",80310014015,"Block Group 5, Census Tract 14.01, Denver County, Colorado",781,243,16,18,0,11,0,11,16,23,15,22,0,11,0,11,42,46,135,140,0,11,17,24,64,60,25,33,20,20,31,42,119,78,68,44,17,24,71,87,37,25,33,23,55,34,0,11,0,11
"96","1500000US080310014021",80310014021,"Block Group 1, Census Tract 14.02, Denver County, Colorado",632,191,37,53,0,11,0,11,0,11,6,11,0,11,0,11,0,11,41,48,0,11,6,9,24,30,96,98,10,19,37,52,73,85,30,30,8,14,195,100,0,11,60,51,9,15,0,11,0,11
"97","1500000US080310014022",80310014022,"Block Group 2, Census Tract 14.02, Denver County, Colorado",597,270,43,48,0,11,0,11,0,11,0,11,73,115,56,65,0,11,32,51,16,25,0,11,15,24,7,12,17,28,0,11,108,48,23,25,62,83,34,28,15,26,72,60,0,11,24,39,0,11
"98","1500000US080310014023",80310014023,"Block Group 3, Census Tract 14.02, Denver County, Colorado",748,191,50,63,0,11,0,11,5,9,0,11,0,11,0,11,75,85,103,60,0,11,0,11,47,63,13,21,30,48,26,31,273,175,13,19,0,11,28,25,9,12,68,73,8,12,0,11,0,11
"99","1500000US080310014024",80310014024,"Block Group 4, Census Tract 14.02, Denver County, Colorado",873,213,57,64,0,11,0,11,0,11,0,11,0,11,26,41,35,43,71,111,39,41,0,11,0,11,13,15,62,50,51,39,108,68,91,72,70,47,62,59,7,11,138,110,43,50,0,11,0,11
"100","1500000US080310014031",80310014031,"Block Group 1, Census Tract 14.03, Denver County, Colorado",1397,225,33,33,0,11,0,11,0,11,0,11,0,11,0,11,0,11,76,79,0,11,8,12,28,41,0,11,35,50,11,24,161,98,40,33,37,42,141,76,63,56,543,149,201,85,20,28,0,11
"101","1500000US080310014032",80310014032,"Block Group 2, Census Tract 14.03, Denver County, Colorado",900,160,13,23,0,11,0,11,0,11,0,11,0,11,7,12,7,10,20,22,0,11,8,14,17,21,12,18,60,63,0,11,197,89,43,33,33,30,148,67,105,65,125,56,88,64,17,18,0,11
"102","1500000US080310015001",80310015001,"Block Group 1, Census Tract 15, Denver County, Colorado",545,213,4,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,23,0,11,21,23,48,48,5,8,33,32,10,15,215,170,63,48,16,19,26,24,20,24,25,29,43,63,0,11,0,11
"103","1500000US080310015002",80310015002,"Block Group 2, Census Tract 15, Denver County, Colorado",1088,300,44,56,0,11,0,11,0,11,0,11,49,49,12,19,11,17,11,17,0,11,65,74,32,42,22,31,98,77,35,35,305,177,98,61,29,32,109,74,43,38,87,48,31,35,7,10,0,11
"104","1500000US080310015003",80310015003,"Block Group 3, Census Tract 15, Denver County, Colorado",713,156,30,34,0,11,0,11,0,11,0,11,0,11,9,14,22,33,43,44,0,11,0,11,26,39,16,20,68,64,0,11,169,102,29,28,21,20,110,66,61,57,91,50,18,18,0,11,0,11
"105","1500000US080310016001",80310016001,"Block Group 1, Census Tract 16, Denver County, Colorado",2131,417,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,124,147,0,11,0,11,0,11,0,11,80,129,0,11,95,93,25,39,249,262,545,291,13,22,715,274,243,160,14,23,28,45
"106","1500000US080310016002",80310016002,"Block Group 2, Census Tract 16, Denver County, Colorado",4205,655,36,53,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,7,17,23,42,28,46,38,45,42,69,247,139,61,80,97,120,390,243,210,159,2043,483,705,337,207,219,71,72
"107","1500000US080310016003",80310016003,"Block Group 3, Census Tract 16, Denver County, Colorado",1820,817,0,11,0,11,0,11,5,13,0,11,9,21,0,11,0,11,42,52,5,13,10,18,62,95,41,75,110,142,14,23,240,218,28,30,37,55,278,182,157,144,550,351,141,180,25,40,66,143
"108","1500000US080310017011",80310017011,"Block Group 1, Census Tract 17.01, Denver County, Colorado",1637,253,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,75,71,0,11,0,11,24,39,17,27,807,196,525,141,142,103,47,43
"109","1500000US080310017012",80310017012,"Block Group 2, Census Tract 17.01, Denver County, Colorado",816,265,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,40,47,0,11,417,234,288,124,71,55,0,11
"110","1500000US080310017013",80310017013,"Block Group 3, Census Tract 17.01, Denver County, Colorado",369,113,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,26,62,51,23,35,0,11,78,79,20,31,64,50,28,33,46,36,32,35
"111","1500000US080310017014",80310017014,"Block Group 4, Census Tract 17.01, Denver County, Colorado",1220,265,50,59,0,11,0,11,0,11,50,55,0,11,29,34,0,11,12,21,0,11,0,11,46,61,68,87,31,35,11,18,221,113,9,15,117,110,154,124,32,37,197,114,118,84,32,37,43,41
"112","1500000US080310017015",80310017015,"Block Group 5, Census Tract 17.01, Denver County, Colorado",737,192,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,87,102,0,11,12,19,124,75,16,25,292,123,99,74,85,60,22,26
"113","1500000US080310017021",80310017021,"Block Group 1, Census Tract 17.02, Denver County, Colorado",1468,301,15,25,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,24,64,67,16,28,13,24,67,106,55,92,0,11,193,94,138,116,747,238,111,89,16,26,17,30
"114","1500000US080310017022",80310017022,"Block Group 2, Census Tract 17.02, Denver County, Colorado",1358,273,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,24,29,33,42,44,42,166,95,143,105,587,207,256,127,105,68,0,11
"115","1500000US080310018001",80310018001,"Block Group 1, Census Tract 18, Denver County, Colorado",1431,229,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,9,16,7,12,23,27,35,36,22,24,0,11,21,21,104,59,36,30,63,40,244,104,109,59,491,138,192,90,23,22,52,50
"116","1500000US080310018002",80310018002,"Block Group 2, Census Tract 18, Denver County, Colorado",1057,187,42,31,0,11,0,11,0,11,0,11,0,11,0,11,0,11,80,65,39,41,44,45,58,65,8,12,8,14,37,34,203,118,31,26,33,30,65,45,23,24,245,94,101,61,13,18,27,29
"117","1500000US080310019011",80310019011,"Block Group 1, Census Tract 19.01, Denver County, Colorado",464,220,23,37,0,11,0,11,0,11,0,11,0,11,18,29,0,11,18,29,0,11,41,31,7,16,11,19,52,46,7,16,155,95,16,18,27,35,50,41,20,20,11,15,8,12,0,11,0,11
"118","1500000US080310019012",80310019012,"Block Group 2, Census Tract 19.01, Denver County, Colorado",1199,217,52,34,0,11,0,11,0,11,0,11,7,11,5,8,0,11,89,70,23,34,41,37,33,33,48,55,85,58,39,40,117,60,40,68,23,30,266,108,57,48,129,54,110,68,35,32,0,11
"119","1500000US080310019021",80310019021,"Block Group 1, Census Tract 19.02, Denver County, Colorado",101,41,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,21,0,11,4,6,37,22,0,11,29,21,15,12,0,11,0,11
"120","1500000US080310020001",80310020001,"Block Group 1, Census Tract 20, Denver County, Colorado",1781,196,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,10,17,0,11,14,23,138,80,33,24,73,54,278,119,94,75,697,146,275,76,102,37,67,52
"121","1500000US080310021001",80310021001,"Block Group 1, Census Tract 21, Denver County, Colorado",970,229,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,17,27,0,11,27,38,123,131,0,11,0,11,209,118,0,11,343,91,162,98,77,59,12,20
"122","1500000US080310021002",80310021002,"Block Group 2, Census Tract 21, Denver County, Colorado",1258,358,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,31,51,291,179,43,69,71,72,153,89,54,56,396,151,182,83,10,16,27,29
"123","1500000US080310021003",80310021003,"Block Group 3, Census Tract 21, Denver County, Colorado",781,182,18,29,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,20,33,14,21,16,27,122,98,0,11,44,49,29,32,10,15,12,20,15,24,338,135,101,57,14,23,28,44
"124","1500000US080310021004",80310021004,"Block Group 4, Census Tract 21, Denver County, Colorado",370,154,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,18,29,31,45,0,11,0,11,0,11,16,27,15,25,14,24,193,95,52,65,31,36,0,11
"125","1500000US080310021005",80310021005,"Block Group 5, Census Tract 21, Denver County, Colorado",1117,335,0,11,0,11,0,11,0,11,55,79,0,11,0,11,0,11,102,168,0,11,0,11,114,69,13,21,75,56,23,26,269,148,0,11,15,26,60,60,29,33,260,95,56,54,37,46,9,16
"126","1500000US080310023001",80310023001,"Block Group 1, Census Tract 23, Denver County, Colorado",1541,244,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,81,102,0,11,7,13,0,11,0,11,53,80,103,97,212,140,96,91,12,21,229,142,79,55,463,159,193,126,13,22,0,11
"127","1500000US080310023002",80310023002,"Block Group 2, Census Tract 23, Denver County, Colorado",788,261,16,26,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,14,22,0,11,0,11,0,11,35,40,28,32,31,38,95,69,88,85,379,224,84,55,18,29,0,11
"128","1500000US080310023003",80310023003,"Block Group 3, Census Tract 23, Denver County, Colorado",1752,304,0,11,0,11,0,11,0,11,0,11,35,51,0,11,0,11,60,94,24,38,33,49,36,44,13,23,0,11,19,31,120,90,16,27,96,62,316,139,41,42,631,215,147,92,165,91,0,11
"129","1500000US080310024021",80310024021,"Block Group 1, Census Tract 24.02, Denver County, Colorado",844,133,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,5,7,0,11,20,26,0,11,18,15,0,11,37,34,70,41,56,39,191,76,47,32,241,79,125,54,17,19,17,15
"130","1500000US080310024022",80310024022,"Block Group 2, Census Tract 24.02, Denver County, Colorado",613,126,10,11,0,11,0,11,0,11,0,11,0,11,0,11,3,7,5,8,0,11,22,15,6,9,0,11,0,11,9,12,63,43,7,10,27,20,122,63,5,13,196,80,102,45,30,19,6,9
"131","1500000US080310024031",80310024031,"Block Group 1, Census Tract 24.03, Denver County, Colorado",1066,233,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,9,21,38,39,0,11,0,11,0,11,200,111,38,35,18,26,183,106,86,97,274,113,198,86,0,11,22,37
"132","1500000US080310024032",80310024032,"Block Group 2, Census Tract 24.03, Denver County, Colorado",802,193,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,26,0,11,29,47,0,11,23,25,11,18,71,50,198,106,8,13,264,108,134,81,20,22,28,34
"133","1500000US080310024033",80310024033,"Block Group 3, Census Tract 24.03, Denver County, Colorado",1066,253,12,19,0,11,0,11,0,11,25,44,0,11,0,11,0,11,30,48,11,16,0,11,25,34,30,37,16,19,24,27,87,71,57,49,60,47,145,81,19,24,456,150,44,47,14,23,11,18
"134","1500000US080310026011",80310026011,"Block Group 1, Census Tract 26.01, Denver County, Colorado",1384,290,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,15,0,11,0,11,41,47,110,86,0,11,56,36,95,64,92,106,635,171,167,92,107,85,73,64
"135","1500000US080310026012",80310026012,"Block Group 2, Census Tract 26.01, Denver County, Colorado",1319,226,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,12,20,0,11,0,11,64,43,0,11,21,28,0,11,151,103,47,41,82,54,296,151,100,81,419,155,108,75,19,30,0,11
"136","1500000US080310026021",80310026021,"Block Group 1, Census Tract 26.02, Denver County, Colorado",2375,237,28,27,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,12,0,11,7,9,42,56,0,11,10,17,16,18,111,56,26,20,73,65,221,84,97,55,1037,202,499,151,129,82,71,53
"137","1500000US080310027011",80310027011,"Block Group 1, Census Tract 27.01, Denver County, Colorado",980,196,13,19,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,14,22,139,71,28,32,0,11,207,84,76,67,403,153,87,85,0,11,13,21
"138","1500000US080310027012",80310027012,"Block Group 2, Census Tract 27.01, Denver County, Colorado",1030,225,15,23,0,11,0,11,0,11,0,11,0,11,0,11,0,11,63,87,0,11,0,11,48,79,0,11,0,11,0,11,10,23,0,11,42,45,109,88,19,31,496,166,178,100,30,33,20,28
"139","1500000US080310027013",80310027013,"Block Group 3, Census Tract 27.01, Denver County, Colorado",1510,221,18,28,0,11,0,11,0,11,0,11,0,11,0,11,0,11,53,78,0,11,0,11,14,23,0,11,54,80,0,11,72,54,73,73,54,70,294,125,34,37,605,170,136,69,61,49,42,38
"140","1500000US080310027014",80310027014,"Block Group 4, Census Tract 27.01, Denver County, Colorado",639,152,16,27,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,13,22,0,11,0,11,0,11,0,11,0,11,0,11,34,39,86,89,97,93,304,109,70,58,19,30,0,11
"141","1500000US080310027021",80310027021,"Block Group 1, Census Tract 27.02, Denver County, Colorado",1385,210,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,50,68,39,49,60,48,190,113,50,59,574,155,387,153,35,42,0,11
"142","1500000US080310027022",80310027022,"Block Group 2, Census Tract 27.02, Denver County, Colorado",1413,256,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,48,51,34,39,31,49,189,155,88,76,711,242,272,118,27,42,13,21
"143","1500000US080310027023",80310027023,"Block Group 3, Census Tract 27.02, Denver County, Colorado",869,265,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,13,20,1,3,0,11,1,3,1,3,11,19,1,3,106,91,39,35,96,87,89,118,27,40,286,128,146,88,36,42,16,18
"144","1500000US080310027024",80310027024,"Block Group 4, Census Tract 27.02, Denver County, Colorado",612,137,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,13,22,43,64,0,11,53,39,90,65,272,105,104,71,0,11,37,60
"145","1500000US080310027025",80310027025,"Block Group 5, Census Tract 27.02, Denver County, Colorado",970,227,1,3,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1,4,116,69,70,52,0,11,96,65,59,72,492,227,117,68,18,28,0,11
"146","1500000US080310027031",80310027031,"Block Group 1, Census Tract 27.03, Denver County, Colorado",1278,216,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,37,61,14,21,41,38,14,22,308,163,17,27,48,47,143,96,34,38,351,107,193,120,78,77,0,11
"147","1500000US080310027032",80310027032,"Block Group 2, Census Tract 27.03, Denver County, Colorado",1074,222,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,71,57,0,11,14,22,130,103,86,64,545,151,209,105,0,11,19,30
"148","1500000US080310027033",80310027033,"Block Group 3, Census Tract 27.03, Denver County, Colorado",1039,270,18,29,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,15,36,33,15,24,34,52,151,112,70,72,478,204,127,78,70,81,34,38
"149","1500000US080310027034",80310027034,"Block Group 4, Census Tract 27.03, Denver County, Colorado",993,213,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1,3,0,11,19,27,1,3,0,11,120,97,124,79,51,60,80,67,35,38,444,137,85,72,33,39,0,11
"150","1500000US080310028011",80310028011,"Block Group 1, Census Tract 28.01, Denver County, Colorado",848,171,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,11,17,0,11,0,11,0,11,8,13,42,31,31,47,0,11,169,101,66,50,257,99,187,79,29,28,48,60
"151","1500000US080310028012",80310028012,"Block Group 2, Census Tract 28.01, Denver County, Colorado",704,131,19,29,0,11,0,11,0,11,0,11,0,11,0,11,0,11,10,16,0,11,0,11,0,11,0,11,0,11,0,11,41,29,0,11,14,22,104,60,27,34,314,99,121,58,42,26,12,19
"152","1500000US080310028013",80310028013,"Block Group 3, Census Tract 28.01, Denver County, Colorado",772,160,0,11,0,11,0,11,13,21,0,11,0,11,0,11,0,11,8,11,0,11,0,11,0,11,0,11,0,11,0,11,31,38,11,16,13,20,65,50,9,15,449,133,109,61,44,44,20,22
"153","1500000US080310028021",80310028021,"Block Group 1, Census Tract 28.02, Denver County, Colorado",1373,318,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,4,11,0,11,0,11,28,56,34,37,32,51,0,11,115,82,0,11,53,42,265,140,0,11,571,167,262,126,9,19,0,11
"154","1500000US080310028022",80310028022,"Block Group 2, Census Tract 28.02, Denver County, Colorado",711,186,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,12,21,0,11,19,31,64,59,53,49,440,187,108,72,0,11,15,27
"155","1500000US080310028023",80310028023,"Block Group 3, Census Tract 28.02, Denver County, Colorado",819,192,0,11,0,11,0,11,0,11,0,11,1,4,0,11,0,11,1,4,0,11,0,11,0,11,0,11,0,11,0,11,48,44,66,77,87,89,29,47,96,86,301,103,151,87,0,11,39,58
"156","1500000US080310028024",80310028024,"Block Group 4, Census Tract 28.02, Denver County, Colorado",795,179,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,19,31,0,11,0,11,0,11,0,11,15,23,0,11,74,82,0,11,21,34,172,113,46,61,392,132,25,39,31,36,0,11
"157","1500000US080310028031",80310028031,"Block Group 1, Census Tract 28.03, Denver County, Colorado",574,133,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,26,31,36,106,73,16,27,270,89,105,65,30,32,0,11
"158","1500000US080310028032",80310028032,"Block Group 2, Census Tract 28.03, Denver County, Colorado",1103,213,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,23,35,0,11,0,11,14,21,0,11,12,19,176,121,88,91,513,143,191,89,42,37,44,39
"159","1500000US080310028033",80310028033,"Block Group 3, Census Tract 28.03, Denver County, Colorado",1106,223,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,18,25,95,88,0,11,41,51,139,88,31,37,619,202,128,86,15,25,20,33
"160","1500000US080310028034",80310028034,"Block Group 4, Census Tract 28.03, Denver County, Colorado",1191,203,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1,2,75,54,16,25,89,86,74,50,32,37,586,151,145,72,149,90,24,29
"161","1500000US080310029011",80310029011,"Block Group 1, Census Tract 29.01, Denver County, Colorado",791,155,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,18,20,8,11,6,9,157,95,36,30,369,118,129,73,60,32,8,13
"162","1500000US080310029012",80310029012,"Block Group 2, Census Tract 29.01, Denver County, Colorado",877,128,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,15,17,0,11,88,56,37,32,24,29,155,77,82,64,295,90,155,60,14,17,12,19
"163","1500000US080310029013",80310029013,"Block Group 3, Census Tract 29.01, Denver County, Colorado",1036,143,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,15,24,9,15,0,11,0,11,0,11,9,14,0,11,19,23,17,27,0,11,88,60,30,23,529,168,201,72,103,50,16,26
"164","1500000US080310029021",80310029021,"Block Group 1, Census Tract 29.02, Denver County, Colorado",1514,225,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,12,18,49,32,23,17,65,58,140,94,139,97,647,176,263,80,122,74,54,38
"165","1500000US080310029022",80310029022,"Block Group 2, Census Tract 29.02, Denver County, Colorado",1092,184,7,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,20,30,0,11,0,11,0,11,79,85,39,37,27,34,13,20,15,18,464,144,328,76,61,42,39,31
"166","1500000US080310029023",80310029023,"Block Group 3, Census Tract 29.02, Denver County, Colorado",986,180,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,12,7,10,33,31,22,21,19,23,86,59,14,21,422,142,271,163,75,44,29,29
"167","1500000US080310030011",80310030011,"Block Group 1, Census Tract 30.01, Denver County, Colorado",864,225,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,28,31,27,31,11,18,98,98,42,41,352,150,126,101,144,100,36,43
"168","1500000US080310030012",80310030012,"Block Group 2, Census Tract 30.01, Denver County, Colorado",1113,262,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,112,116,0,11,39,47,127,88,46,44,513,152,150,95,126,75,0,11
"169","1500000US080310030013",80310030013,"Block Group 3, Census Tract 30.01, Denver County, Colorado",822,188,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,18,30,43,54,0,11,0,11,60,59,0,11,424,161,214,103,63,45,0,11
"170","1500000US080310030014",80310030014,"Block Group 4, Census Tract 30.01, Denver County, Colorado",980,184,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,119,63,15,25,32,46,92,58,53,49,411,142,204,99,19,30,35,39
"171","1500000US080310030015",80310030015,"Block Group 5, Census Tract 30.01, Denver County, Colorado",960,211,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,21,30,13,21,0,11,1,2,11,16,27,30,125,108,15,22,426,135,184,85,137,97,0,11
"172","1500000US080310030021",80310030021,"Block Group 1, Census Tract 30.02, Denver County, Colorado",445,121,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,7,13,0,11,22,21,0,11,10,17,20,23,0,11,162,73,150,85,56,45,18,20
"173","1500000US080310030022",80310030022,"Block Group 2, Census Tract 30.02, Denver County, Colorado",702,155,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,82,45,0,11,15,16,67,56,132,82,304,99,79,51,8,12,15,28
