"","X","Id","Id2","Geography","TTL_population","Male","Female","Total","Age_Less_5","Age_5_to_9","Age_10_to_14","Age_15_to_17","Age_Less_18","Age_0_to_9","Age_10_to_19","Age_20_to_29","Age_30_to_39","Age_40_to_49","Age_50_to_59","Age_60_to_69","Age_70_to_79","Age_80_and_over","PCT_Less_18","White","Black","AmericanIndian","Asian","PacificIslanders","OtherRaces","Two.or.more.races","PCT_White","PCT_African","PCT_AmericanIndian","PCT_Asian","PCT_PacificIslander","PCT_OtherRaces","PCT_Two.or.more.races","Hispanic","PCT_Hispanic","TTPOP_25PLUS_EDU","LESS_THAN_HS_DIPLOMA","HSGREAD_OR_EQUIV_EDU","SOMECOLLEGE_OR_AA_EDU","BACHELORS_OR_HIGHER_EDU","Median_HH_income","Native","PCT_Housing_rent","PCT_Vehicle_none","PCT_Vehicle_own","TTPOP_18PLUS_LNG","LNG_English","LNG_Spanish","LNG_Spanish_English_bad","LNG_IndoEuropean","LNG_IndoEuropean_English_bad","LNG_AsianPacific","LNG_AsianPacific_English_bad","LNG_Others","LNG_Others_English_bad","TTL_HH_Children_under_18","Poverty_HH","Poverty_PCT_HH","MarriedCouple_HH","SingleDad_HH","SingleMom_HH","PCT_MarriedCouple_HH","PCT_SingleDad_HH","PCT_SingleMom_HH"
"33",33,"1500000US080310004023",80310004023,"Block Group 3, Census Tract 4.02, Denver County, Colorado",80,685,590,1275,0,33,0,0,33,33,0,426,455,226,41,91,2,1,2.58823529411765,1222,2,0,32,0,0,38,95.843137254902,0.156862745098039,0,2.50980392156863,0,0,2.98039215686275,174,217.5,1167,78,61,71,957,"85625",1110,66.2983425414365,3.97790055248619,96.0220994475138,1242,1089,135,0,18,0,154,3,74,0,18,0,0,18,0,0,100,0,0
"34",34,"1500000US080310004024",80310004024,"Block Group 4, Census Tract 4.02, Denver County, Colorado",36,482,269,751,0,0,53,42,95,0,95,177,225,69,53,78,54,0,12.6498002663116,568,19,152,0,0,0,24,75.6324900133156,2.52996005326232,20.2396804260985,0,0,0,3.19573901464714,142,394.444444444444,656,143,133,35,345,"79868",628,67,19,81,656,522,123,11,0,0,201,78,65,0,57,0,0,0,0,57,0,0,100
"35",35,"1500000US080310004025",80310004025,"Block Group 5, Census Tract 4.02, Denver County, Colorado",50,378,465,843,12,0,13,11,36,12,27,61,157,130,172,30,63,191,4.27046263345196,843,0,0,0,0,0,0,100,0,0,0,0,0,0,31,62,794,69,219,117,389,"48224",771,60.5633802816901,36.4185110663984,63.5814889336016,807,791,0,16,0,0,267,251,0,16,40,0,0,12,14,14,30,35,35
"36",36,"1500000US080310004026",80310004026,"Block Group 6, Census Tract 4.02, Denver County, Colorado",30,232,249,481,0,0,34,0,34,0,46,12,70,154,68,107,0,24,7.06860706860707,420,0,61,0,0,0,0,87.3180873180873,0,12.6819126819127,0,0,0,0,49,163.333333333333,435,24,10,143,258,"-",481,22.680412371134,5.84192439862543,94.1580756013746,447,447,0,0,0,0,114,114,0,0,28,0,0,12,16,0,42.8571428571429,57.1428571428571,0
"37",37,"1500000US080310005011",80310005011,"Block Group 1, Census Tract 5.01, Denver County, Colorado",181,508,595,1103,83,75,35,12,205,158,50,108,306,249,83,88,34,27,18.5856754306437,1051,11,8,11,6,0,32,95.2855847688123,0.99728014505893,0.725294650951949,0.99728014505893,0.543970988213962,0,2.9011786038078,145,80.110497237569,889,71,75,153,590,"97321",1069,21.4015151515152,0,100,898,773,115,10,0,0,201,86,29,0,125,0,0,89,5,31,71.2,4,24.8
"38",38,"1500000US080310005012",80310005012,"Block Group 2, Census Tract 5.01, Denver County, Colorado",153,464,451,915,65,60,13,8,146,125,25,78,219,132,149,141,39,7,15.9562841530055,746,96,27,2,0,28,32,81.5300546448087,10.4918032786885,2.95081967213115,0.218579234972678,0,3.06010928961749,3.49726775956284,132,86.2745098039216,755,10,87,92,566,"111538",877,28.6036036036036,2.92792792792793,97.0720720720721,769,708,23,32,2,4,137,107,25,7,88,5,5.68181818181818,72,11,5,81.8181818181818,12.5,5.68181818181818
"39",39,"1500000US080310005021",80310005021,"Block Group 1, Census Tract 5.02, Denver County, Colorado",59,586,566,1152,81,15,33,18,147,96,51,187,362,137,209,35,75,0,12.7604166666667,1011,8,17,0,0,87,58,87.7604166666667,0.694444444444444,1.47569444444444,0,0,7.55208333333333,5.03472222222222,420,711.864406779661,958,206,104,209,439,"76326",1115,52.6315789473684,16.374269005848,83.6257309941521,1005,973,7,25,0,0,82,75,25,0,71,17,23.943661971831,54,0,17,76.056338028169,0,23.943661971831
"40",40,"1500000US080310005022",80310005022,"Block Group 2, Census Tract 5.02, Denver County, Colorado",65,607,634,1241,97,105,37,18,257,202,55,80,370,386,44,62,14,28,20.7091055600322,1018,51,0,21,0,55,192,82.030620467365,4.10958904109589,0,1.69218372280419,0,4.43190975020145,15.4713940370669,130,200,984,34,61,166,723,"93942",1167,20.6654991243433,6.83012259194396,93.169877408056,984,931,34,19,0,0,93,72,0,19,172,19,11.046511627907,153,0,19,88.953488372093,0,11.046511627907
"41",41,"1500000US080310005023",80310005023,"Block Group 3, Census Tract 5.02, Denver County, Colorado",41,700,369,1069,88,20,71,75,254,108,242,107,118,212,122,85,59,16,23.7605238540692,809,73,24,0,0,0,326,75.6782039289055,6.8288119738073,2.24508886810103,0,0,0,30.4957904583723,480,1170.73170731707,693,18,168,212,295,"52358",968,26.6331658291457,4.52261306532663,95.4773869346734,815,578,237,0,0,0,259,128,0,0,126,0,0,126,0,0,100,0,0
"42",42,"1500000US080310005024",80310005024,"Block Group 4, Census Tract 5.02, Denver County, Colorado",54,681,710,1391,86,58,94,0,238,144,94,191,113,178,48,348,190,85,17.1099928109274,889,179,38,51,0,219,30,63.9108554996405,12.8684399712437,2.73184759166068,3.66642703091301,0,15.7440690150971,2.15672178289001,516,955.555555555556,1060,362,208,160,330,"12684",1309,81.6195372750643,45.1156812339332,54.8843187660668,1153,950,172,0,31,0,581,378,155,0,162,120,74.0740740740741,42,0,120,25.9259259259259,0,74.0740740740741
