"X","Row.names","camp_id","session_id","camp_zip","camp_address_1","session_size","session_cost","session_date_start","session_date_end","session_categories","calendar_date","start.time.hours","end.time.hours","duration","lat","long","NBHD_Name"
8998,238,991,"43551","80222","4400 E. Iliff Ave.",0,"540","2019-06-10 00:00:00","2019-07-12 00:00:00","academic","2019-07-10","11:15 AM","12:45 PM",1.5,39.7342032,-104.8846904,NA
8999,2380,984,"43190","80203","1617 S. Acoma St.",0,"100","2019-07-08 00:00:00","2019-07-12 00:00:00","sports,offersBeforeAfterCare","2019-07-08","8:00 AM","6:00 PM",10,39.5677534,-104.8369605,NA
9000,2381,984,"43190","80203","1617 S. Acoma St.",0,"100","2019-07-08 00:00:00","2019-07-12 00:00:00","sports,offersBeforeAfterCare","2019-07-09","8:00 AM","6:00 PM",10,39.5677534,-104.8369605,NA
9001,2382,984,"43190","80203","1617 S. Acoma St.",0,"100","2019-07-08 00:00:00","2019-07-12 00:00:00","sports,offersBeforeAfterCare","2019-07-10","8:00 AM","6:00 PM",10,39.5677534,-104.8369605,NA
9002,2383,984,"43190","80203","1617 S. Acoma St.",0,"100","2019-07-08 00:00:00","2019-07-12 00:00:00","sports,offersBeforeAfterCare","2019-07-11","8:00 AM","6:00 PM",10,39.5677534,-104.8369605,NA
9003,2384,984,"43190","80203","1617 S. Acoma St.",0,"100","2019-07-08 00:00:00","2019-07-12 00:00:00","sports,offersBeforeAfterCare","2019-07-12","8:00 AM","6:00 PM",10,39.5677534,-104.8369605,NA
9004,2385,984,"43191","80203","1617 S. Acoma St.",0,"100","2019-07-15 00:00:00","2019-07-19 00:00:00","sports,offersBeforeAfterCare","2019-07-15","8:00 AM","6:00 PM",10,39.5677534,-104.8369605,NA
9005,2386,984,"43191","80203","1617 S. Acoma St.",0,"100","2019-07-15 00:00:00","2019-07-19 00:00:00","sports,offersBeforeAfterCare","2019-07-16","8:00 AM","6:00 PM",10,39.5677534,-104.8369605,NA
9006,2387,984,"43191","80203","1617 S. Acoma St.",0,"100","2019-07-15 00:00:00","2019-07-19 00:00:00","sports,offersBeforeAfterCare","2019-07-17","8:00 AM","6:00 PM",10,39.5677534,-104.8369605,NA
9007,2388,984,"43191","80203","1617 S. Acoma St.",0,"100","2019-07-15 00:00:00","2019-07-19 00:00:00","sports,offersBeforeAfterCare","2019-07-18","8:00 AM","6:00 PM",10,39.5677534,-104.8369605,NA
9008,2389,984,"43191","80203","1617 S. Acoma St.",0,"100","2019-07-15 00:00:00","2019-07-19 00:00:00","sports,offersBeforeAfterCare","2019-07-19","8:00 AM","6:00 PM",10,39.5677534,-104.8369605,NA
9009,239,991,"43551","80222","4400 E. Iliff Ave.",0,"540","2019-06-10 00:00:00","2019-07-12 00:00:00","academic","2019-07-11","11:15 AM","12:45 PM",1.5,39.7342032,-104.8846904,NA
9010,2390,984,"43192","80203","1617 S. Acoma St.",0,"100","2019-07-22 00:00:00","2019-07-26 00:00:00","offersBeforeAfterCare,sports","2019-07-22","8:00 AM","6:00 PM",10,39.5677534,-104.8369605,NA
9011,2391,984,"43192","80203","1617 S. Acoma St.",0,"100","2019-07-22 00:00:00","2019-07-26 00:00:00","offersBeforeAfterCare,sports","2019-07-23","8:00 AM","6:00 PM",10,39.5677534,-104.8369605,NA
9012,2392,984,"43192","80203","1617 S. Acoma St.",0,"100","2019-07-22 00:00:00","2019-07-26 00:00:00","offersBeforeAfterCare,sports","2019-07-24","8:00 AM","6:00 PM",10,39.5405857,-105.0026892,NA
9013,2393,984,"43192","80203","1617 S. Acoma St.",0,"100","2019-07-22 00:00:00","2019-07-26 00:00:00","offersBeforeAfterCare,sports","2019-07-25","8:00 AM","6:00 PM",10,39.5405857,-105.0026892,NA
9014,2394,984,"43192","80203","1617 S. Acoma St.",0,"100","2019-07-22 00:00:00","2019-07-26 00:00:00","offersBeforeAfterCare,sports","2019-07-26","8:00 AM","6:00 PM",10,39.5405857,-105.0026892,NA
9015,2395,624,"37771","80206","191 University Blvd",100,"0","2019-06-03 00:00:00","2019-06-08 00:00:00","specialNeedsStudent","2019-06-03","8:00 AM","10:00 PM",14,39.5405857,-105.0026892,NA
9016,2396,624,"37771","80206","191 University Blvd",100,"0","2019-06-03 00:00:00","2019-06-08 00:00:00","specialNeedsStudent","2019-06-04","8:00 AM","10:00 PM",14,39.5405857,-105.0026892,NA
9017,2397,624,"37771","80206","191 University Blvd",100,"0","2019-06-03 00:00:00","2019-06-08 00:00:00","specialNeedsStudent","2019-06-05","8:00 AM","10:00 PM",14,39.5405857,-105.0026892,NA
9018,2398,624,"37771","80206","191 University Blvd",100,"0","2019-06-03 00:00:00","2019-06-08 00:00:00","specialNeedsStudent","2019-06-06","8:00 AM","10:00 PM",14,39.5405857,-105.0026892,NA
9019,2399,624,"37771","80206","191 University Blvd",100,"0","2019-06-03 00:00:00","2019-06-08 00:00:00","specialNeedsStudent","2019-06-07","8:00 AM","10:00 PM",14,39.5405857,-105.0026892,NA
9020,24,986,"43219","80401","710 10th St. Suite 200",10,"675","2019-07-29 00:00:00","2019-08-02 00:00:00","nature,academic,sports,scholarshipsAvailable","2019-07-29","12:00 AM","12:00 AM",24,39.737371,-104.988115,"Civic Center"
9021,240,991,"43551","80222","4400 E. Iliff Ave.",0,"540","2019-06-10 00:00:00","2019-07-12 00:00:00","academic","2019-07-12","11:15 AM","12:45 PM",1.5,39.7342032,-104.8846904,NA
9022,2400,624,"37771","80206","191 University Blvd",100,"0","2019-06-03 00:00:00","2019-06-08 00:00:00","specialNeedsStudent","2019-06-08","8:00 AM","10:00 PM",14,39.5405857,-105.0026892,NA
9023,2401,960,"42172","80202","1445 Market Street",150,"550","2019-06-09 00:00:00","2019-06-14 00:00:00","academic,specialNeedsStudent,scholarshipsAvailable","2019-06-09","8:00 AM","10:00 PM",14,39.5405857,-105.0026892,NA
9024,2402,960,"42172","80202","1445 Market Street",150,"550","2019-06-09 00:00:00","2019-06-14 00:00:00","academic,specialNeedsStudent,scholarshipsAvailable","2019-06-10","8:00 AM","10:00 PM",14,39.5405857,-105.0026892,NA
9025,2403,960,"42172","80202","1445 Market Street",150,"550","2019-06-09 00:00:00","2019-06-14 00:00:00","academic,specialNeedsStudent,scholarshipsAvailable","2019-06-11","8:00 AM","10:00 PM",14,39.5405857,-105.0026892,NA
9026,2404,960,"42172","80202","1445 Market Street",150,"550","2019-06-09 00:00:00","2019-06-14 00:00:00","academic,specialNeedsStudent,scholarshipsAvailable","2019-06-12","8:00 AM","10:00 PM",14,39.5405857,-105.0026892,NA
9027,2405,960,"42172","80202","1445 Market Street",150,"550","2019-06-09 00:00:00","2019-06-14 00:00:00","academic,specialNeedsStudent,scholarshipsAvailable","2019-06-13","8:00 AM","10:00 PM",14,39.5405857,-105.0026892,NA
9028,2406,960,"42172","80202","1445 Market Street",150,"550","2019-06-09 00:00:00","2019-06-14 00:00:00","academic,specialNeedsStudent,scholarshipsAvailable","2019-06-14","8:00 AM","10:00 PM",14,39.5405857,-105.0026892,NA
9029,2407,964,"42552","80012","15151 E. Alameda Parkway, Suite 4600",60,"80","2019-06-10 00:00:00","2019-06-13 00:00:00","sports,specialNeedsStudent,scholarshipsAvailable","2019-06-10","8:15 AM","10:00 AM",1.75,39.5405857,-105.0026892,NA
9030,2408,964,"42552","80012","15151 E. Alameda Parkway, Suite 4600",60,"80","2019-06-10 00:00:00","2019-06-13 00:00:00","sports,specialNeedsStudent,scholarshipsAvailable","2019-06-11","8:15 AM","10:00 AM",1.75,39.5405857,-105.0026892,NA
9031,2409,964,"42552","80012","15151 E. Alameda Parkway, Suite 4600",60,"80","2019-06-10 00:00:00","2019-06-13 00:00:00","sports,specialNeedsStudent,scholarshipsAvailable","2019-06-12","8:15 AM","10:00 AM",1.75,39.5405857,-105.0026892,NA
