"","Row.names","camp_id","session_id","camp_zip","camp_address_1","session_size","session_cost","session_date_start","session_date_end","session_categories","calendar_date","start.time.hours","end.time.hours","duration","session_max_age","session_min_age","lat","lon","lat_lon"
"9986","328",993,"43577","80128","8355 S. Wadsworth Blvd",0,"320","2019-07-29 00:00:00","2019-08-02 00:00:00","academic,arts,sports,dance,offersBeforeAfterCare,drama,nature,cooking,stem",2019-08-01,"6:00 AM","6:00 PM",12,12,5,39.7299327,-104.877958,"39.7299327 -104.877958"
"9987","3280",658,"40222","80303","1466 N. 64rd Street",12,"359","2019-06-24 00:00:00","2019-06-28 00:00:00","specialNeedsStudent,academic,nature,scholarshipsAvailable",2019-06-26,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9988","3281",658,"40222","80303","1466 N. 64rd Street",12,"359","2019-06-24 00:00:00","2019-06-28 00:00:00","specialNeedsStudent,academic,nature,scholarshipsAvailable",2019-06-27,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9989","3282",658,"40222","80303","1466 N. 64rd Street",12,"359","2019-06-24 00:00:00","2019-06-28 00:00:00","specialNeedsStudent,academic,nature,scholarshipsAvailable",2019-06-28,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9990","3283",658,"40223","80303","1466 N. 64rd Street",12,"359","2019-07-08 00:00:00","2019-07-12 00:00:00","nature,scholarshipsAvailable,specialNeedsStudent,academic",2019-07-08,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9991","3284",658,"40223","80303","1466 N. 64rd Street",12,"359","2019-07-08 00:00:00","2019-07-12 00:00:00","nature,scholarshipsAvailable,specialNeedsStudent,academic",2019-07-09,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9992","3285",658,"40223","80303","1466 N. 64rd Street",12,"359","2019-07-08 00:00:00","2019-07-12 00:00:00","nature,scholarshipsAvailable,specialNeedsStudent,academic",2019-07-10,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9993","3286",658,"40223","80303","1466 N. 64rd Street",12,"359","2019-07-08 00:00:00","2019-07-12 00:00:00","nature,scholarshipsAvailable,specialNeedsStudent,academic",2019-07-11,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9994","3287",658,"40223","80303","1466 N. 64rd Street",12,"359","2019-07-08 00:00:00","2019-07-12 00:00:00","nature,scholarshipsAvailable,specialNeedsStudent,academic",2019-07-12,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9995","3288",658,"40224","80303","1466 N. 64rd Street",12,"359","2019-07-15 00:00:00","2019-07-19 00:00:00","scholarshipsAvailable,nature,specialNeedsStudent,academic",2019-07-15,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
