"lat","lon","lat_lon","blockID","driving_morning","transit_morning","kilometers"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310032031",18.25,48.35,"9.9 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310032031",5.76666666666667,19.4,"2.7 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310032031",42.2333333333333,NA,"49.6 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310032031",40.3833333333333,NA,"51.2 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310032031",39.1166666666667,NA,"43.9 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310032031",32.9166666666667,NA,"40.2 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310032032",15.9,54.45,"8.7 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310032032",3.43333333333333,14.15,"1.4 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310032032",44.15,NA,"50.0 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310032032",42.3166666666667,NA,"51.7 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310032032",41.05,NA,"44.4 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310032032",34.85,NA,"40.6 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310032033",15.7833333333333,55.7666666666667,"8.7 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310032033",3.23333333333333,8.78333333333333,"1.1 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310032033",42.95,NA,"49.2 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310032033",41.1,NA,"50.8 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310032033",39.8333333333333,NA,"43.5 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310032033",33.65,NA,"39.8 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310033001",11.8333333333333,38.8333333333333,"6.1 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310033001",2.85,20.0333333333333,"1.5 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310033001",44.1333333333333,NA,"50.1 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310033001",42.2833333333333,NA,"51.8 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310033001",41.2666666666667,NA,"43.0 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310033001",35.0833333333333,NA,"39.2 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310032015",14.8166666666667,34.5833333333333,"7.8 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310032015",3.85,11.9,"1.3 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310032015",43.2166666666667,NA,"46.3 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310032015",41.3666666666667,NA,"48.0 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310032015",40.1,NA,"40.7 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310032015",33.9,NA,"36.9 km"
