"","Id","Id2","Geography","Estimate..Total.","Margin.of.Error..Total.","Estimate..Total....White.alone","Margin.of.Error..Total....White.alone","Estimate..Total....Black.or.African.American.alone","Margin.of.Error..Total....Black.or.African.American.alone","Estimate..Total....American.Indian.and.Alaska.Native.alone","Margin.of.Error..Total....American.Indian.and.Alaska.Native.alone","Estimate..Total....Asian.alone","Margin.of.Error..Total....Asian.alone","Estimate..Total....Native.Hawaiian.and.Other.Pacific.Islander.alone","Margin.of.Error..Total....Native.Hawaiian.and.Other.Pacific.Islander.alone","Estimate..Total....Some.other.race.alone","Margin.of.Error..Total....Some.other.race.alone","Estimate..Total....Two.or.more.races.","Margin.of.Error..Total....Two.or.more.races.","Estimate..Total....Two.or.more.races....Two.races.including.Some.other.race","Margin.of.Error..Total....Two.or.more.races....Two.races.including.Some.other.race","Estimate..Total....Two.or.more.races....Two.races.excluding.Some.other.race..and.three.or.more.races","Margin.of.Error..Total....Two.or.more.races....Two.races.excluding.Some.other.race..and.three.or.more.races"
"89","1500000US080310013022",80310013022,"Block Group 2, Census Tract 13.02, Denver County, Colorado",947,477,723,486,0,11,0,11,0,11,0,11,218,272,6,10,6,10,0,11
"90","1500000US080310013023",80310013023,"Block Group 3, Census Tract 13.02, Denver County, Colorado",1377,288,1006,267,44,47,44,54,0,11,0,11,175,132,108,97,0,11,108,97
"91","1500000US080310014011",80310014011,"Block Group 1, Census Tract 14.01, Denver County, Colorado",1067,315,839,246,3,6,0,11,0,11,0,11,197,249,28,44,0,11,28,44
"92","1500000US080310014012",80310014012,"Block Group 2, Census Tract 14.01, Denver County, Colorado",538,180,401,151,0,11,0,11,16,29,0,11,117,115,4,8,0,11,4,8
"93","1500000US080310014013",80310014013,"Block Group 3, Census Tract 14.01, Denver County, Colorado",1974,643,1652,639,19,22,9,14,32,35,0,11,253,197,9,13,0,11,9,13
"94","1500000US080310014014",80310014014,"Block Group 4, Census Tract 14.01, Denver County, Colorado",1639,347,898,307,30,36,0,11,560,79,0,11,151,165,0,11,0,11,0,11
"95","1500000US080310014015",80310014015,"Block Group 5, Census Tract 14.01, Denver County, Colorado",1331,458,881,350,22,34,5,11,0,11,0,11,347,300,76,104,0,11,76,104
"96","1500000US080310014021",80310014021,"Block Group 1, Census Tract 14.02, Denver County, Colorado",1287,544,780,314,340,396,0,11,38,51,0,11,0,11,129,176,0,11,129,176
"97","1500000US080310014022",80310014022,"Block Group 2, Census Tract 14.02, Denver County, Colorado",816,412,514,319,0,11,0,11,0,11,0,11,302,308,0,11,0,11,0,11
"98","1500000US080310014023",80310014023,"Block Group 3, Census Tract 14.02, Denver County, Colorado",1339,466,752,331,0,11,0,11,16,26,0,11,571,537,0,11,0,11,0,11
