"","Id","Id2","Geography","TTL_population","Margin.of.Error..Total"
"170","1500000US080310030014",80310030014,"Block Group 4, Census Tract 30.01, Denver County, Colorado",1181,225
"171","1500000US080310030015",80310030015,"Block Group 5, Census Tract 30.01, Denver County, Colorado",1317,305
"172","1500000US080310030021",80310030021,"Block Group 1, Census Tract 30.02, Denver County, Colorado",594,152
"173","1500000US080310030022",80310030022,"Block Group 2, Census Tract 30.02, Denver County, Colorado",785,168
"174","1500000US080310030023",80310030023,"Block Group 3, Census Tract 30.02, Denver County, Colorado",1181,217
"175","1500000US080310030031",80310030031,"Block Group 1, Census Tract 30.03, Denver County, Colorado",1643,177
"176","1500000US080310030032",80310030032,"Block Group 2, Census Tract 30.03, Denver County, Colorado",1648,186
"177","1500000US080310030041",80310030041,"Block Group 1, Census Tract 30.04, Denver County, Colorado",2546,409
"178","1500000US080310030042",80310030042,"Block Group 2, Census Tract 30.04, Denver County, Colorado",2141,414
"179","1500000US080310030043",80310030043,"Block Group 3, Census Tract 30.04, Denver County, Colorado",1530,398
"180","1500000US080310031011",80310031011,"Block Group 1, Census Tract 31.01, Denver County, Colorado",1576,122
"181","1500000US080310031021",80310031021,"Block Group 1, Census Tract 31.02, Denver County, Colorado",1685,217
"182","1500000US080310031022",80310031022,"Block Group 2, Census Tract 31.02, Denver County, Colorado",1633,216
"183","1500000US080310032011",80310032011,"Block Group 1, Census Tract 32.01, Denver County, Colorado",1359,258
"184","1500000US080310032012",80310032012,"Block Group 2, Census Tract 32.01, Denver County, Colorado",1471,269
"185","1500000US080310032013",80310032013,"Block Group 3, Census Tract 32.01, Denver County, Colorado",1193,329
"186","1500000US080310032014",80310032014,"Block Group 4, Census Tract 32.01, Denver County, Colorado",760,247
"187","1500000US080310032015",80310032015,"Block Group 5, Census Tract 32.01, Denver County, Colorado",684,210
"188","1500000US080310032021",80310032021,"Block Group 1, Census Tract 32.02, Denver County, Colorado",1101,182
"189","1500000US080310032022",80310032022,"Block Group 2, Census Tract 32.02, Denver County, Colorado",811,147
"190","1500000US080310032023",80310032023,"Block Group 3, Census Tract 32.02, Denver County, Colorado",1224,188
"191","1500000US080310032031",80310032031,"Block Group 1, Census Tract 32.03, Denver County, Colorado",774,189
"192","1500000US080310032032",80310032032,"Block Group 2, Census Tract 32.03, Denver County, Colorado",1222,185
"193","1500000US080310032033",80310032033,"Block Group 3, Census Tract 32.03, Denver County, Colorado",1126,191
"194","1500000US080310033001",80310033001,"Block Group 1, Census Tract 33, Denver County, Colorado",1109,195
"195","1500000US080310033002",80310033002,"Block Group 2, Census Tract 33, Denver County, Colorado",884,208
"196","1500000US080310033003",80310033003,"Block Group 3, Census Tract 33, Denver County, Colorado",1002,261
"197","1500000US080310033004",80310033004,"Block Group 4, Census Tract 33, Denver County, Colorado",565,109
"198","1500000US080310034011",80310034011,"Block Group 1, Census Tract 34.01, Denver County, Colorado",550,112
"199","1500000US080310034012",80310034012,"Block Group 2, Census Tract 34.01, Denver County, Colorado",1992,188
"200","1500000US080310034021",80310034021,"Block Group 1, Census Tract 34.02, Denver County, Colorado",1202,256
"201","1500000US080310034022",80310034022,"Block Group 2, Census Tract 34.02, Denver County, Colorado",2496,258
"202","1500000US080310034023",80310034023,"Block Group 3, Census Tract 34.02, Denver County, Colorado",1123,233
"203","1500000US080310035001",80310035001,"Block Group 1, Census Tract 35, Denver County, Colorado",856,325
"204","1500000US080310035002",80310035002,"Block Group 2, Census Tract 35, Denver County, Colorado",1474,338
"205","1500000US080310035003",80310035003,"Block Group 3, Census Tract 35, Denver County, Colorado",1648,480
"206","1500000US080310035004",80310035004,"Block Group 4, Census Tract 35, Denver County, Colorado",1111,394
"207","1500000US080310035005",80310035005,"Block Group 5, Census Tract 35, Denver County, Colorado",1831,401
"208","1500000US080310036011",80310036011,"Block Group 1, Census Tract 36.01, Denver County, Colorado",1167,236
"209","1500000US080310036012",80310036012,"Block Group 2, Census Tract 36.01, Denver County, Colorado",690,194
"210","1500000US080310036013",80310036013,"Block Group 3, Census Tract 36.01, Denver County, Colorado",1676,313
"211","1500000US080310036014",80310036014,"Block Group 4, Census Tract 36.01, Denver County, Colorado",467,238
"212","1500000US080310036015",80310036015,"Block Group 5, Census Tract 36.01, Denver County, Colorado",549,271
"213","1500000US080310036021",80310036021,"Block Group 1, Census Tract 36.02, Denver County, Colorado",1365,372
"214","1500000US080310036022",80310036022,"Block Group 2, Census Tract 36.02, Denver County, Colorado",542,196
"215","1500000US080310036023",80310036023,"Block Group 3, Census Tract 36.02, Denver County, Colorado",527,224
"216","1500000US080310036024",80310036024,"Block Group 4, Census Tract 36.02, Denver County, Colorado",1061,359
"217","1500000US080310036025",80310036025,"Block Group 5, Census Tract 36.02, Denver County, Colorado",1099,384
"218","1500000US080310036031",80310036031,"Block Group 1, Census Tract 36.03, Denver County, Colorado",1341,314
"219","1500000US080310036032",80310036032,"Block Group 2, Census Tract 36.03, Denver County, Colorado",1795,331
"220","1500000US080310037011",80310037011,"Block Group 1, Census Tract 37.01, Denver County, Colorado",1637,293
"221","1500000US080310037012",80310037012,"Block Group 2, Census Tract 37.01, Denver County, Colorado",1757,245
"222","1500000US080310037021",80310037021,"Block Group 1, Census Tract 37.02, Denver County, Colorado",1801,432
"223","1500000US080310037022",80310037022,"Block Group 2, Census Tract 37.02, Denver County, Colorado",817,269
"224","1500000US080310037023",80310037023,"Block Group 3, Census Tract 37.02, Denver County, Colorado",959,218
"225","1500000US080310037024",80310037024,"Block Group 4, Census Tract 37.02, Denver County, Colorado",1263,342
"226","1500000US080310037031",80310037031,"Block Group 1, Census Tract 37.03, Denver County, Colorado",1400,218
"227","1500000US080310037032",80310037032,"Block Group 2, Census Tract 37.03, Denver County, Colorado",1693,170
"228","1500000US080310038001",80310038001,"Block Group 1, Census Tract 38, Denver County, Colorado",1039,251
"229","1500000US080310038002",80310038002,"Block Group 2, Census Tract 38, Denver County, Colorado",488,135
"230","1500000US080310038003",80310038003,"Block Group 3, Census Tract 38, Denver County, Colorado",1899,419
"231","1500000US080310038004",80310038004,"Block Group 4, Census Tract 38, Denver County, Colorado",1775,309
"232","1500000US080310038005",80310038005,"Block Group 5, Census Tract 38, Denver County, Colorado",1487,353
"233","1500000US080310039011",80310039011,"Block Group 1, Census Tract 39.01, Denver County, Colorado",2046,368
"234","1500000US080310039012",80310039012,"Block Group 2, Census Tract 39.01, Denver County, Colorado",985,264
"235","1500000US080310039013",80310039013,"Block Group 3, Census Tract 39.01, Denver County, Colorado",1566,268
"236","1500000US080310039021",80310039021,"Block Group 1, Census Tract 39.02, Denver County, Colorado",1333,217
"237","1500000US080310039022",80310039022,"Block Group 2, Census Tract 39.02, Denver County, Colorado",1983,380
"238","1500000US080310039023",80310039023,"Block Group 3, Census Tract 39.02, Denver County, Colorado",1367,274
"239","1500000US080310040021",80310040021,"Block Group 1, Census Tract 40.02, Denver County, Colorado",831,155
"240","1500000US080310040022",80310040022,"Block Group 2, Census Tract 40.02, Denver County, Colorado",831,179
