"sport","location","tier","class","long","lat","sqft"
"Mixed-use","Berkeley Lake Park","C",,-105.0518897,39.78076813,13190.8521620114
"Softball","Bible (James A) Park","B","BF-B",-104.90736035,39.66543978,70572.1398071782
"Softball","Bible (James A) Park","B","BF-B",-104.90854272,39.66544855,70572.2801356867
"Softball","Sandos (M.L. Sam) Park","A","BF-A",-105.0276552,39.72638669,65432.1631398143
"Softball","Sandos (M.L. Sam) Park","A","BF-A",-105.02716323,39.72699716,63970.5518413692
"Baseball","Ciancio Park","C","BF-C",-105.00272478,39.77233024,31315.2748468231
"Mixed-use","Ciancio Park","C",,-105.00244914,39.7725498,28770.8150451993
"Softball","Ciancio Park","C","BF-C",-105.00235421,39.77280575,31382.1520940693
"Mixed-use","Central Park","C","MU-TURF",-104.88258459,39.76066841,13555.9121756651
"Mixed-use","Central Park","C","MU-TURF",-104.8822028,39.76067292,13555.9230291596
"Softball","Hirshorn Park","B","BF-B",-105.01051817,39.76045392,47739.2902765304
"Baseball","Jackie Robinson Fields","A","BF-A",-104.88965818,39.71881238,60030.9811288409
"Mixed-use","Central Park","C","MU-TURF",-104.88180989,39.76068235,13555.8805924467
"Softball","Jackie Robinson Fields","A","BF-A",-104.88885697,39.71979176,90162.0862207267
"Mixed-use","Central Park","C","MU-TURF",-104.88141535,39.76068971,13555.9286129967
"Softball","Jackie Robinson Fields","A","BF-A",-104.89112775,39.71849781,94315.3830249838
"Baseball","La Alma / Lincoln Park","A","BF-A",-105.00460994,39.73547125,74418.2962185697
"Baseball","Montbello Central Park","A","BF-A",-104.8277353,39.78366365,127281.286272021
"Softball","Montbello Central Park","A","BF-A",-104.82846216,39.78455436,92138.9037161439
"Baseball","Ruby Hill Park","A","BF-A",-105.00310989,39.68338066,133542.111401916
"Mixed-use","Central Park","C","MU-TURF",-104.88184623,39.76116521,13555.9203936943
"Mixed-use","Central Park","C","MU-TURF",-104.88226574,39.76114305,13555.9306841673
"Mixed-use","City Park","B","MU-TURF",-104.95307288,39.74515141,35964.0312287573
"Mixed-use","City Park","B","MU-TURF",-104.9537461,39.74513706,48551.4589803837
"Mixed-use","City Park","B","MU-TURF",-104.95438107,39.74513009,25174.8634952036
"Mixed-use","City Park","B","MU-TURF",-104.95726458,39.74579664,28771.2746474473
"Softball","Pinecrest Village Park","C","BF-C",-105.05589087,39.64672053,31384.488852121
"Soccer","Pinehurst Park","C","MU-TURF",-105.04648224,39.63770969,69235.2367468778
"Mixed-use","Harvard Gulch Park","C",,-104.9814103,39.67335048,35965.7335652139
"Mixed-use","Harvard Gulch Park","C",,-104.98216905,39.67383293,13487.043163744
"Mixed-use","Harvey Park","C","MU-TURF",-105.03905928,39.67887693,28772.3352894284
"Mixed-use","Harvey Park","C","MU-TURF",-105.04465352,39.67907415,28772.4385815611
"Mixed-use","Harvey Park","C","MU-TURF",-105.03961864,39.67793338,35965.4057577856
"Mixed-use","Harvey Park","C","MU-TURF",-105.04300004,39.67921686,13487.0604013512
"Mixed-use","Harvey Park","C","MU-TURF",-105.04335295,39.6791172,13487.1139556141
"Baseball","Barnum East Park","A","BF-A",-105.02411209,39.72450691,137528.547359305
"Mixed-use","Pinehurst Park","C","MU-TURF",-105.04865028,39.63732162,35966.3437501036
"Mixed-use","Silverman (Melvin F) Park","C","MU-TURF",-104.83964334,39.78568482,28770.4716589062
"Mixed-use","Huston Lake Park","C",,-105.01940995,39.70136282,28772.0627216671
"Mixed-use","Huston Lake Park","C",,-105.01942278,39.70095253,28772.0620718883
"Mixed-use","Robinson Park","C",,-104.92682663,39.72034175,35964.5567776373
"Softball","Huston Lake Park","C","BF-C",-105.01909694,39.70153649,31383.5521452454
"Softball","Huston Lake Park","C","BF-C",-105.01866925,39.70110062,31383.5539946104
"Softball","Robinson Park","C","BF-C",-104.92736509,39.72043746,31383.2600057382
"Mixed-use","Huston Lake Park","C","MU-TURF",-105.01414878,39.70107003,53947.6401894531
"Mixed-use","Skyland Park","C",,-104.92065076,39.76504619,28770.9403886722
