"name","class","has_nature","has_garden","has_biking","long","lat","sqft"
"Observatory Park","Neighborhood",FALSE,FALSE,FALSE,-104.95296167,39.6764225,454600.224717199
"Rosedale Park","Neighborhood",TRUE,TRUE,TRUE,-104.98389765,39.67281416,554988.038513617
"Weir Gulch Park - North","Linear",TRUE,FALSE,TRUE,-105.0384883,39.7183702,641577.599401221
"Gates Tennis Center","Special Use",FALSE,FALSE,FALSE,-104.94844496,39.7138264,199626.57894405
"Pinehurst Park","Neighborhood",FALSE,FALSE,TRUE,-105.0474722,39.63758808,596181.394531625
"Cook (Judge Joseph E) Park","Community",TRUE,FALSE,TRUE,-104.91017136,39.68719896,1647531.80263032
"Babi-Yar Park","Community",TRUE,FALSE,TRUE,-104.86810206,39.669062,1097118.08973228
"Unnamed Garland & Saratoga Park","Neighborhood",FALSE,FALSE,TRUE,-105.10346507,39.62715529,220059.662342349
"Lawson (Sonny) Park","Neighborhood",FALSE,FALSE,FALSE,-104.98268713,39.75185879,108128.104883846
"Ferguson (WH) Park","Pocket",FALSE,FALSE,FALSE,-104.93251192,39.75081245,11475.6008514147
"Jefferson Park","Neighborhood",FALSE,FALSE,FALSE,-105.02208039,39.75060468,289358.067102055
"Pulaski Park","Neighborhood",FALSE,FALSE,FALSE,-104.94748978,39.71306146,383253.70495166
"West-Bar-Val-Wood Park","Neighborhood",FALSE,FALSE,TRUE,-105.01275942,39.71393486,551117.7282206
"Argo Park","Neighborhood",FALSE,FALSE,FALSE,-104.98217067,39.7837669,524248.401246541
"Unnamed Berkeley & Burlington Park","Pocket",FALSE,FALSE,FALSE,-105.00860883,39.79015395,11904.1751362979
"La Alma / Lincoln Park","Community",FALSE,FALSE,FALSE,-105.00406227,39.73526876,654501.190302946
"Montclair Park","Neighborhood",FALSE,FALSE,FALSE,-104.90877801,39.73499473,102534.980375888
"Mayfair Park","Neighborhood",TRUE,FALSE,TRUE,-104.92055651,39.73228575,212851.279765256
"Sunken Gardens Park","Neighborhood",FALSE,FALSE,TRUE,-104.99270822,39.73069781,484101.576212173
"Quality Hill Park","Pocket",FALSE,FALSE,FALSE,-104.98138021,39.73178373,12257.4665306187
"Bow Mar Heights Park","Neighborhood",TRUE,FALSE,TRUE,-105.03932801,39.63502313,781477.974262457
"Wallace (George M) Park","Neighborhood",FALSE,FALSE,TRUE,-104.89019941,39.62910513,1080200.84438486
"Wallace (George M) Park North","Neighborhood",FALSE,FALSE,TRUE,-104.89229852,39.63316937,336397.497337058
"Weir Gulch Marina Park","Neighborhood",FALSE,FALSE,TRUE,-105.02010944,39.73085321,290479.623660423
"Kittredge Park","Neighborhood",FALSE,FALSE,TRUE,-104.90750414,39.72989403,96420.0575918806
"Capitol Hill Reservoir","Athletic Complex",FALSE,FALSE,FALSE,-104.95761398,39.73201389,307867.591006693
"Southwest Auto Park","Neighborhood",FALSE,FALSE,TRUE,-105.09141262,39.63164095,67117.0649671344
"Grant-Humphrey's Mansion Park","Special Use",FALSE,FALSE,FALSE,-104.98062272,39.72821501,81999.5608894593
"Governors Park","Neighborhood",FALSE,FALSE,TRUE,-104.98162257,39.72788859,86022.146290865
"Denison Park","Neighborhood",FALSE,FALSE,FALSE,-104.90401965,39.73354294,104519.410036466
"City of Ulaanbaatar Park","Neighborhood",TRUE,FALSE,TRUE,-104.89998713,39.72440221,224242.691887584
"Verbena Park","Neighborhood",FALSE,FALSE,TRUE,-104.89127129,39.73425285,312694.792240817
"Swift Property","Undeveloped",FALSE,FALSE,FALSE,-104.89710154,39.77582078,410693.623313914
"First Creek Park","Neighborhood",FALSE,FALSE,FALSE,-104.76890312,39.7940921,275843.512296342
"Unnamed Kentucky & Irving","Undeveloped",FALSE,FALSE,FALSE,-105.02953662,39.70063629,12305.8192553812
"Sandos (M.L. Sam) Park","Athletic Complex",TRUE,FALSE,TRUE,-105.02717557,39.72684811,704127.561360802
"Dreiling (Ruth Lucille) Park","Linear",TRUE,FALSE,TRUE,-105.04767589,39.71312767,254294.732475308
"Barnum East Park","Athletic Complex",FALSE,FALSE,FALSE,-105.02343337,39.72418711,512635.502804905
"Flores (Hector M) Park","Pocket",FALSE,FALSE,FALSE,-104.9960523,39.72278504,15652.87509184
"Jackie Robinson Fields","Athletic Complex",FALSE,FALSE,FALSE,-104.89004887,39.71893041,865943.269396836
"Sanderson Gulch","Linear",TRUE,FALSE,TRUE,-105.02244529,39.68808107,2277586.04739842
"Willis Case Municipal Golf Course","Golf",FALSE,FALSE,FALSE,-105.04885027,39.78782276,5197778.64403178
"Lake of Lakes Park","Open Space",TRUE,FALSE,FALSE,-105.09006873,39.63804571,244313.863873713
"Richthofen Memorial Fountain","Pocket",FALSE,FALSE,FALSE,-104.9079275,39.73348895,5421.00864215593
"Aqua Golf at Overland","Golf",FALSE,FALSE,FALSE,-104.99497669,39.69042043,614111.21257248
"Southmoor Park","Community",FALSE,FALSE,TRUE,-104.90694239,39.65146329,753959.525327241
"Unnamed Jefferson & Kendall Park","Neighborhood",FALSE,FALSE,TRUE,-105.06710545,39.65047934,105442.958036093
"Goldsmith Gulch North","Linear",TRUE,FALSE,TRUE,-104.89661029,39.64686875,235219.435703995
"Rosamond Park","Community",FALSE,FALSE,TRUE,-104.89512424,39.64062663,1551181.73017763
"Martin Luther King Jr Park","Neighborhood",FALSE,FALSE,TRUE,-104.90820402,39.7701928,492359.038326124
"Four Mile Historic Park","Special Use",FALSE,FALSE,FALSE,-104.92731009,39.70310512,473722.179376465
"Boyd (J. Langston) Park","Neighborhood",FALSE,FALSE,TRUE,-104.9412165,39.76034146,212720.729442815
"Unnamed Bryant & Ellsworth Park","Pocket",FALSE,FALSE,FALSE,-105.0187185,39.71616941,22873.8402333474
"Berkeley Lake Park","Regional",FALSE,FALSE,TRUE,-105.04860942,39.78227341,3534348.17196931
"Kennedy Ballfields Complex","Athletic Complex",TRUE,FALSE,FALSE,-104.85467897,39.65659885,2467015.3811797
"Kennedy Soccer Complex","Athletic Complex",TRUE,FALSE,FALSE,-104.87372727,39.64775967,1707984.72372397
"Chaffee (Jerome B) Park","Neighborhood",FALSE,FALSE,FALSE,-105.01059969,39.77651999,219321.96036747
"McDonough Park","Neighborhood",FALSE,FALSE,TRUE,-105.02587538,39.77383578,159113.56726455
"Ashland Recreation Center","Recreation Center",FALSE,FALSE,FALSE,-105.01812831,39.75987926,62726.7772255185
"Chavez (Cesar E) Park","Neighborhood",FALSE,FALSE,FALSE,-105.04459286,39.77361374,110702.117504243
"Stout Street Children's Park","Pocket",FALSE,FALSE,FALSE,-104.98222868,39.75460091,9531.27455847732
"Schafer (Martin J) Park","Neighborhood",FALSE,FALSE,TRUE,-104.95612086,39.76873503,387363.102163641
"Commons Park","Community",TRUE,FALSE,TRUE,-105.00525407,39.75672382,766238.484914001
"Quick (Lenore B) Park","Pocket",FALSE,FALSE,FALSE,-104.97488634,39.7543125,18889.9421835679
"MacIntosh (Kenneth M) Park","Pocket",FALSE,FALSE,TRUE,-104.98952145,39.74054014,14168.0211522541
"Hungarian Freedom Park","Neighborhood",FALSE,FALSE,FALSE,-104.97639755,39.7186701,74990.3688892681
"Eastmoor Park","Neighborhood",TRUE,FALSE,TRUE,-104.90875465,39.63981143,521878.280048025
"Cuatro Vientos / Four Winds Park","Neighborhood",FALSE,FALSE,FALSE,-105.03788209,39.71082136,51327.3321145897
"Unnamed Garrison & Union Park","Neighborhood",FALSE,FALSE,TRUE,-105.10337862,39.63223648,203604.088017115
"Harvard Gulch East","Linear",TRUE,FALSE,TRUE,-104.95398895,39.66970745,465870.684377415
"McWilliams (Robert H) Park","Neighborhood",FALSE,FALSE,TRUE,-104.9523391,39.668035,341943.285175463
"Unnamed Bates & Hobart Park","Neighborhood",FALSE,FALSE,TRUE,-105.06064009,39.66160916,277090.378558046
"St. Patrick's Neighborhood Park","Pocket",FALSE,FALSE,FALSE,-105.00612202,39.7634593,12351.518148086
"Dartmouth Gulch Park","Open Space",TRUE,FALSE,FALSE,-105.01965554,39.66119999,145672.1299781
"DeBoer (SR) Park","Neighborhood",FALSE,FALSE,TRUE,-104.96171252,39.67069016,206700.182977386
"City of Kunming Park","Neighborhood",FALSE,FALSE,FALSE,-104.98462429,39.67037173,157821.004680766
"Bear Creek Park","Regional",TRUE,FALSE,TRUE,-105.04617813,39.65156413,3760352.97118414
"Kennedy (John F) Municipal Golf Course","Golf",FALSE,FALSE,FALSE,-104.86606774,39.6533622,11880596.7942626
"Tennessee Utility Easement","Linear",FALSE,FALSE,FALSE,-105.02183771,39.69873627,184083.275148174
"Westwood Utility Easement","Linear",TRUE,TRUE,TRUE,-105.03793482,39.69952572,149831.452257603
"Unnamed 41st & Ensenada Park","Neighborhood",FALSE,FALSE,TRUE,-104.75840388,39.77279709,221306.426118697
"Pasquinel's Landing","Neighborhood",TRUE,FALSE,TRUE,-104.99775139,39.67958681,147313.829607964
"Dailey Park","Neighborhood",FALSE,FALSE,TRUE,-104.99308687,39.71613873,115921.039341075
"Lindsley (Henry S) Park","Neighborhood",FALSE,FALSE,TRUE,-104.93288074,39.73404421,307518.686454178
"Frog Hollow Park","Linear",FALSE,FALSE,TRUE,-105.01542877,39.72790135,246583.018606445
"Harvard Gulch Mini Park","Pocket",FALSE,FALSE,TRUE,-104.97272998,39.67151755,27985.6651318714
"Rocky Mountain Lake Park","Community",FALSE,FALSE,TRUE,-105.03037009,39.78193917,2417528.28999974
"Railyard Dog Park","Special Use",FALSE,FALSE,FALSE,-105.00128931,39.75820761,33485.7833324971
"Bible (James A) Park","Community",TRUE,FALSE,TRUE,-104.90620394,39.66494841,2878838.36044785
"Westerly Creek Park","Open Space",TRUE,FALSE,TRUE,-104.8783094,39.7572061,3002854.43749279
"New Freedom Park","Neighborhood",FALSE,TRUE,TRUE,-104.88585221,39.73676264,92907.9535622363
"Unnamed Stanford & Balsam Park","Open Space",TRUE,FALSE,TRUE,-105.0921383,39.63477548,443432.983243807
"Unnamed Quebec & Wesley Park","Pocket",FALSE,FALSE,FALSE,-104.90429729,39.67467856,25262.4756094976
"Overland Municipal Golf Course","Golf",FALSE,FALSE,FALSE,-104.99668448,39.68527682,6054939.1133913
"Alamo Placita Park","Neighborhood",FALSE,FALSE,FALSE,-104.97580932,39.72057723,201403.572524003
